temp,RH,DMC,X,DC,area
8.2,51,26.2,7,94.3,0
18,33,35.4,7,669.1,0
14.6,33,43.7,7,686.9,0
8.3,97,33.3,8,77.5,0
11.4,99,51.3,8,102.2,0
22.2,29,85.3,8,488,0
24.1,27,88.9,8,495.6,0
8,86,145.4,8,608.2,0
13.1,63,129.5,8,692.6,0
22.8,40,88,7,698.6,0
17.8,51,88,7,698.6,0
19.3,38,73.2,7,713,0
17,72,70.8,6,665.3,0
21.3,42,126.5,6,686.5,0
26.4,21,133.3,6,699.6,0
22.9,44,141.2,6,713.9,0
15.1,27,35.8,5,80.8,0
16.7,47,32.8,8,664.2,0
15.9,35,27.9,6,70.8,0
9.3,44,27.4,6,97.1,0
18.3,40,129.5,6,692.6,0
19.1,38,78.5,5,724.3,0
21,44,96.3,7,200,0
19.5,43,110.9,7,537.4,0
23.7,32,139.4,7,594.2,0
16.3,60,142.4,7,601.4,0
19,34,117.9,7,668,0
19.4,48,126.5,7,686.5,0
30.2,24,145.4,6,721.4,0
22.8,39,149.3,6,728.6,0
25.4,24,85.1,6,692.3,0
11.2,78,91.8,6,709.9,0
20.6,37,69.7,6,706.8,0
17.7,39,75.6,6,718.3,0
21.2,32,78.5,6,724.3,0
18.2,62,80.7,6,730.2,0
21.7,24,35.4,6,669.1,0
11.3,60,41.5,7,682.6,0
17.8,27,43.7,7,686.9,0
14.1,43,25.7,4,67.6,0
23.3,37,60.6,4,366.7,0
18.4,42,96.9,4,624.2,0
16.6,54,108.3,4,647.1,0
19.6,48,88,4,698.6,0
12.9,74,82.9,4,735.7,0
25.9,24,85.1,5,692.3,0
14.7,70,126.5,5,686.5,0
23,36,62.3,6,442.9,0
11.8,35,23.9,4,64.7,0
11,46,52.2,4,103.8,0
20.8,17,137,4,706.4,0
21.5,34,99.6,4,631.2,0
20.4,42,111.2,4,654.1,0
20.4,42,111.2,4,654.1,0
17.6,45,114.3,4,661.3,0
27.7,24,137,4,706.4,0
17.8,63,80.7,4,730.2,0
13.8,50,46.5,4,691.8,0
13.9,40,9.3,2,34,0
12.3,51,13.2,2,43,0
11.5,39,51.3,2,102.2,0
5.5,59,51.3,2,102.2,0
18.8,35,75.3,2,466.6,0
20.8,33,99.6,2,631.2,0
23.1,31,103.2,2,638.8,0
18.6,44,114.3,2,661.3,0
23,37,117.9,2,668,0
19.6,33,117.9,2,668,0
19.6,33,117.9,2,668,0
17.2,26,33.3,4,77.5,0
15.8,27,48.3,4,97.8,0
17.7,37,85.1,4,692.3,0
15.6,25,33.3,5,77.5,0
17.3,43,147.3,5,614.5,0
27.6,30,141.2,5,713.9,0
6.7,79,6.8,9,26.6,0
15.7,43,13.2,9,43,0
8.3,72,52.2,1,103.8,0
14.7,66,108,1,529.8,0
